,tokenID,name,image,animation_url,pot,pet,bark,leaves,fruit,numberOfFruit,groundCover,background
32,1233,Bonsai #1233,https://ipfs.io/ipfs/QmeH8qiNsNBs6ENCBJZf7jLmeJJuijJYVsxaWVtTxfKR7P,https://ipfs.io/ipfs/QmaeQPAzWEvYP33fDJ1afrepkWDaRknSk4AgsWUdir9wY8,Aged Terra Cotta,None,Birch,Summer Elm,Young Seed,10,kerria,day
33,1234,Bonsai #1234,https://ipfs.io/ipfs/QmRtcPKJ2sBYHtqUZ3kc8CRJJT24U7W41Fw5A6mB8yGmPP,https://ipfs.io/ipfs/QmaaUgsKHHPCRbj3fr4SoycWn3rLNnHeTmRkhfMiki9gEQ,Midnight Clay,Mantis,Cedar,Sakura,Lemon,11,grass,day
34,1235,Bonsai #1235,https://ipfs.io/ipfs/QmUoWuUKHvZrD5vRSgckYFfiMEDBpnYNafMdAZir626k48,https://ipfs.io/ipfs/QmaH1xbhQkBJYuU3BLfb86SNd4oBoWVXHwpGTLswS9YbQj,Aged Terra Cotta,None,Wenge,Yakisugi Maple,Cherry,10,None,day
35,1236,Bonsai #1236,https://ipfs.io/ipfs/QmRSr2YXXKbTwCfntdg4ShwCna1jaLj4X2aa5HAXAp8nub,https://ipfs.io/ipfs/QmaYwBZRnqR46MMhcCcWYN7QBqL4hTn5stenUDHC33d4r9,Blue Plastic,None,Elm,Summer Simple,Yakisugi Apple,11,kerria,day
36,1237,Bonsai #1237,https://ipfs.io/ipfs/Qmeh8J5LTg59NxJoQ8nAqtCKtwLTKF7grqxWdqp9cyrNfH,https://ipfs.io/ipfs/QmV5FNJcJDY3pVUN4GvYa3zADRpVwddpD3xAmYYrc7nxkm,Red Terra Cotta,Mantis,Golden,Momo Maple,Persimmon,12,grass,day
37,1238,Bonsai #1238,https://ipfs.io/ipfs/QmZMMi7oFU7tVekWReiVrz4Ls5cW7RiSQH3fTx9TNTLTzY,https://ipfs.io/ipfs/QmNhtFm8knbDcL5wcfyTLGx2E5Y8NB5UsPkq3mfKxsit1T,Elder Realm,Magpie,Birch,Golden Maple,None,0,kerria,Space
38,1239,Bonsai #1239,https://ipfs.io/ipfs/QmTVvZWrjtvoRGjEYz7fuUqGcNmBYiwxFkgezsgqzNBCuU,https://ipfs.io/ipfs/QmW7GpuoLRXo7Se6XcC6w4kpbPsVxUbJ9RHohQ9BSe9uHE,Red Terra Cotta,None,Cedar,Summer Simple,None,0,rock,night
39,1240,Bonsai #1240,https://ipfs.io/ipfs/QmeMHuXD3t8bGmZWXRkHG2XdbbfrzTYP7U9kRXPg8jv8BM,https://ipfs.io/ipfs/QmSfDqWeDruWFMnXuFqqqc2WTygAFxS1NDcA5pt9Pj47Mq,Sunrise Clay,None,Cedar,Fall Simple,None,0,None,day
40,1241,Bonsai #1241,https://ipfs.io/ipfs/QmZQ8pFewu8kaS6j4MiU2riE95o6ptkPSTqJkQ26fCdY7j,https://ipfs.io/ipfs/QmVA9caSBQEaFhAxC3MBVQy4ZmdNBFysbZm1sBqHeK247N,Sunrise Clay,Magpie,Cedar,Summer Simple,Golden Apple,12,None,night
41,1242,Bonsai #1242,https://ipfs.io/ipfs/QmbzNVH1cEbfNXcJeWA74WzLuNP5d2YgpuqMSexKzN1Mtg,https://ipfs.io/ipfs/QmSXwHfo9K5XhiuNntRUsndMQtqNUeWYZM64gCgBvKxaCv,Midnight Clay,None,Elm,Fall Simple,None,0,hydrangea,night
42,1243,Bonsai #1243,https://ipfs.io/ipfs/QmRgxaVP4UMbHUpKNSh25YPApGH9VxxevcDkCJ8b64tmqz,https://ipfs.io/ipfs/QmaT27rJusSGTDYzNX9RNYcbm7V6knMnpLd6ze62vN2sPF,Green Plastic,Mantis,Cedar,Red Maple,Persimmon,16,rock,day
43,1244,Bonsai #1244,https://ipfs.io/ipfs/QmWkSKhhNtyEmi9LDqkZTWR3rE3SNpR4cAK4dUXaGkZjAX,https://ipfs.io/ipfs/QmSKFzLNDVxjiyT9r4WfXbxT73WnJBDMrE9JNuMYQnniQp,Red Terra Cotta,None,Birch,Red Maple,Cherry,11,None,day
44,1245,Bonsai #1245,https://ipfs.io/ipfs/QmNam4hK8JwgMRuSyuhb9YxwtAzfU8CsF7BgXNV2VaP5X2,https://ipfs.io/ipfs/QmPjKA3LBg6fYcdqcFCpexkN1zT4s9gvqRRGPaKpvLcJyR,Emperor's Gold,Bamboo,Cedar,Yakisugi Maple,Lemon,10,grass,night
45,1246,Bonsai #1246,https://ipfs.io/ipfs/QmRrgApGswFzJidEnMsTJBae3iaAHfsfoiUXWyMnjFAzUo,https://ipfs.io/ipfs/QmPniLxayAHv3ZJU7DmMKNaB5VJhgZWCjjWDJmZsnJPGwQ,Green Plastic,None,Elm,Sakura,None,0,rock,day
46,1247,Bonsai #1247,https://ipfs.io/ipfs/QmexnCGNHRrEmEraChjRHZyi829g2GU9FH79ZR9vzaDgEF,https://ipfs.io/ipfs/QmeNKsz3sMaEysgrPpLY4KTsNFbmVTk2VgC8Ny3y3u7RXh,Red Plastic,Mantis,Birch,Yakisugi Maple,Orin Apple,11,None,day
47,1248,Bonsai #1248,https://ipfs.io/ipfs/QmNMAEc57wK98bcQfUDaPVVaYTt3YuVJnQfGfY75cR1Wz1,https://ipfs.io/ipfs/QmaRLtufZW3eW3ifDzdW3vqqN72FK8ATKfZY9SYV5NgvBq,Red Terra Cotta,ElderCrystal Mantis,Golden,Ancient Sakura,Lime,12,rock,day
48,1249,Bonsai #1249,https://ipfs.io/ipfs/QmUDLiiR6zNDk4ZPreUSjtTeURySww1W4xTZGZ1UMUC7nh,https://ipfs.io/ipfs/QmcQSFiLxJtgDTg5pHZeRvmfJ1tvWTNaXoLPDpt1q1nxzJ,Aged Terra Cotta,None,Wenge,Summer Elm,Lemon,17,None,night
49,1250,Bonsai #1250,https://ipfs.io/ipfs/QmfRvnjY9WnQt37ubgL17oDJuo1qpN9DEG2PbiWryJx8uA,https://ipfs.io/ipfs/QmcGLUsC88fjZqUjQDUF3HDjCuM1K6WdtHYcdEiAPPQp3j,Modern Ash,Golden Mantis,Yakisugi,Yakisugi Maple,None,0,rock,night
50,1251,Bonsai #1251,https://ipfs.io/ipfs/QmR17Hy8mUJfnWsvDyDiJYwEzRNutE469JWX6X5Fe95V8e,https://ipfs.io/ipfs/QmWBMNTr4rbpnv1jyYByjZL5oTboDcmQXfhb8TjRpjzXa4,Midnight Clay,Bamboo,Birch,Momo Maple,None,0,None,day
51,1252,Bonsai #1252,https://ipfs.io/ipfs/QmbzUF3WNMRXZ7hjZBexUGd5zeWAYR45WE13tZug145tu9,https://ipfs.io/ipfs/QmSH3CpcSqaCYZroagjP7sfPnYkaZxamEKmouixW34Qsjj,White Porcelain,None,Yakisugi,Momo Maple,None,0,grass,day
52,1253,Bonsai #1253,https://ipfs.io/ipfs/QmPczYkaM3fERrhZLNMMHskPYPPmQSE3jH2hMfjruhp2XE,https://ipfs.io/ipfs/QmQ3RHQtxpixBnn8BEysPzmJLvpYn3jwKzcQhvYXbkLzLx,Red Plastic,Robin,Ancient,Sakura,Young Seed,13,rock,night
53,1254,Bonsai #1254,https://ipfs.io/ipfs/QmQyo3CadUquvJxUzxPQn6y6G4ogkJ7z2B6JJiELJ85yPq,https://ipfs.io/ipfs/QmdhczUV68z8p1CTARiw13jB8C2BRYR8vviybD8UBJhyRW,Green Plastic,Mantis,Birch,Ancient Sakura,None,0,hydrangea,day
54,1255,Bonsai #1255,https://ipfs.io/ipfs/QmbEdTkPvskA363KJTG4hZCFkVAexWTxKM8fwVCNGFjNSg,https://ipfs.io/ipfs/QmZKmQMEVYV32GpZDVW9BrMp5kews2k9muToyHzjC4wmQx,Sunset Clay,Bamboo,Birch,Momo Maple,None,0,None,night
55,1256,Bonsai #1256,https://ipfs.io/ipfs/QmZxrgmaosrCL3XVd8EzjQPU8nXwhWHB5DBZXd2tKJbnFt,https://ipfs.io/ipfs/QmPkV6MgJtpy7PWP65GpSCa1gH41WdvEowfFxY4Sfk36RG,Sunset Clay,Magpie,Elm,Momo Maple,Lemon,10,rock,night
56,1257,Bonsai #1257,https://ipfs.io/ipfs/Qmb6PjWoPKFQTtKbR5V9azUXsVXfZC5RaqJZvDic9JmFSX,https://ipfs.io/ipfs/QmXK4DjRtPbvbv4WwuzaEPwiynW6vGeH99hLBh6EwYZzJL,Modern White,Mantis,Elm,Yakisugi Maple,Yakisugi Apple,11,rock,night
57,1258,Bonsai #1258,https://ipfs.io/ipfs/QmXD335jzjpJu44dX4hCCCFAMQdDhbFHxtvjcbqZnARSFx,https://ipfs.io/ipfs/QmUzwGnzwq3dnd8EeFbeYzfFVCgcYXCQqFXrCmSFukzSgA,Blue Porcelain,Robin,Cedar,Summer Simple,None,0,None,night
58,1259,Bonsai #1259,https://ipfs.io/ipfs/QmYKLztudwQN6kGoESxJFR4N1CQC1qaUgvQxHtW557f56Z,https://ipfs.io/ipfs/QmbK6Lo5qUsSaizzMdf4MGU1xgGWVZcYutC17Bj31MqMDY,Red Plastic,Mantis,Birch,Fall Simple,Peach,12,None,night
59,1260,Bonsai #1260,https://ipfs.io/ipfs/QmUJNbnLUpMMMuTxbmcG5kkkr5UPWLpFfNTpsKyLrGPWtA,https://ipfs.io/ipfs/QmSc6MxNZr2UABkVuSNhXTvxBznCaM38zQJCHU5fWwxqYv,Sunrise Clay,Robin,Elm,Fall Simple,None,0,rock,day
60,1261,Bonsai #1261,https://ipfs.io/ipfs/QmaLwA6wSjzQAsH3F95tFwgjVsAUZvhKkwzpgyEU1bBn6g,https://ipfs.io/ipfs/QmYUkUbu1xAxofKDA6vocNWU9sP3fyYx2jVfzKFNU4xVDf,Modern Ash,Magpie,Elm,Yakisugi Maple,Mutsu Apple,12,rock,day
61,1262,Bonsai #1262,https://ipfs.io/ipfs/Qmaj5rm6ehTpP47KtPjNe99W1nt6QTvgFXJSKjz2L88SBP,https://ipfs.io/ipfs/QmYYMjdjrf6xMT9xqt4b9v35bJYrGB5oVu372Q5xDLn2cS,Modern Ash,None,Elder,Summer Elm,None,0,None,night
62,1263,Bonsai #1263,https://ipfs.io/ipfs/QmdcK8wVjQsqgpQNs3Jpn2Mwa1qv6ALB3zfgRhJJRU8pxi,https://ipfs.io/ipfs/QmfMt75KU1qjPvQqCxdH7Gbf9D7PtkUjajtp3dpHRYk4MH,Red Terra Cotta,None,Elm,Sakura,Orin Apple,11,None,day
63,1264,Bonsai #1264,https://ipfs.io/ipfs/QmRFPGQYpyEhUNTxkjwdgnzSrLDjjHpqu3uY3DLSnDueHZ,https://ipfs.io/ipfs/QmNvS47X6oFDA4RfbLt3WMJg4AGcaxu545u1Myxz2n7k4N,Red Terra Cotta,None,Ancient,Golden Maple,None,0,None,day
